Snow_mm,Solar_Radiation
0.11846382720811063,0.0
0.11846382720811063,0.0
0.11846382720811063,0.0
0.11846382720811063,0.0
0.11846382720811063,0.0
0.11846382720811063,0.0
0.11831230370819329,0.0
0.11846382720811063,7.562189054726369e-05
0.11846382720811063,0.05237810945273632
0.11979310154829467,0.08208955223880597
0.12053005675243815,0.207363184079602
0.11846382720811063,0.16049751243781096
0.12080555402501514,0.3101492537313433
0.12077800429775745,0.34437810945273634
0.11914568295773871,0.17213930348258707
0.11784395834481237,0.041592039800995025
0.11638382280015427,0.009492537313432836
0.11727230150421511,0.0
0.116087663232134,0.0
0.11667309493636013,0.0
0.11698302936800925,0.0
0.11608077580031957,0.0
0.11579150366411373,0.0
0.11774753429941043,0.0
0.11908369607140888,0.0
0.11968979007107829,0.0
0.11939363050305803,0.0
0.11968290263926389,0.0
0.11937296820761474,0.0
0.11964157804837733,0.0
0.1191938949804397,0.0
0.11920078241225412,7.562189054726369e-05
0.12141853545649899,0.023791044776119402
0.12423549506859882,0.10398009950248756
0.12435258140944404,0.22786069651741295
0.12341589068268224,0.4026865671641791
0.12430436938674308,0.2090547263681592
0.12430436938674308,0.34238805970149255
0.12430436938674308,0.1718407960199005
0.12430436938674308,0.0385771144278607
0.12253429941043584,0.008676616915422887
0.12198330486528185,1.890547263681592e-05
0.12156317152460192,0.0
0.12186621852443659,0.0
0.12170780759270482,0.0
0.12185933109262219,0.0
0.12275469722849744,0.0
0.12245853766047717,0.0
0.12186621852443659,0.0
0.12171469502451926,0.0
0.12201085459253953,0.0
0.1230439693647033,0.0
0.12289933329660037,0.0
0.1234916524326409,0.0
0.12423549506859882,0.0
0.12438701856851618,0.0
0.12438701856851618,0.011592039800995026
0.12438701856851618,0.01663681592039801
0.12437324370488731,0.08089552238805969
0.12434569397762962,0.05824875621890547
0.12433191911400077,0.0607860696517413
0.12433191911400077,0.055562189054726374
0.12433191911400077,0.044407960199004975
0.12418728304589785,0.036945273631840796
0.12418728304589785,0.006921393034825871
0.12434569397762962,0.0
0.12437324370488731,0.0
0.12422172020496998,0.0
0.12438013113670175,0.0
0.12408397156868148,0.0
0.12423549506859882,0.0
0.12423549506859882,0.0
0.12422860763678438,0.0
0.12423549506859882,0.0
0.1239324480687641,0.0
0.12408397156868148,0.0
0.12393933550057855,0.0
0.12438701856851618,0.0
0.12393933550057855,0.0
0.1239324480687641,0.0
0.12393933550057855,0.007567164179104478
0.12438701856851618,0.05439800995024876
0.1243388065458152,0.15761194029850747
0.12433191911400077,0.16527363184079602
0.12433191911400077,0.13860696517412938
0.12431814425037192,0.35701492537313434
0.12386357375061988,0.16845771144278607
0.12154250922915864,0.04902487562189055
0.12126701195658161,0.01974129353233831
0.12141164802468456,4.875621890547264e-05
0.12141853545649899,0.0
0.12145986004738553,0.0
0.12146674747919994,0.0
0.12146674747919994,0.0
0.12146674747919994,0.0
0.12146674747919994,0.0
0.12146674747919994,0.0
0.12146674747919994,0.0
0.12146674747919994,0.0
0.12149429720645766,0.0
0.12149429720645766,0.0
0.12149429720645766,0.0
0.12149429720645766,0.0
0.12149429720645766,0.00014328358208955222
0.12147363491101437,0.03318407960199005
0.1217560196154058,0.12497512437810945
0.1230508567965177,0.20497512437810944
0.12378781200066118,0.17442786069651742
0.12423549506859882,0.15064676616915423
0.12423549506859882,0.21701492537313433
0.12363628850074385,0.14985074626865671
0.12289933329660037,0.07886567164179105
0.12215549066064246,0.020417910447761194
0.1226031737285801,0.0
0.1231886054328062,0.0
0.1230508567965177,0.0
0.12408397156868148,0.0
0.12364317593255827,0.0
0.12364317593255827,0.0
0.12364317593255827,0.0
0.12393933550057855,0.0
0.1239324480687641,0.0
0.12393933550057855,0.0
0.12423549506859882,0.0
0.12409085900049588,0.0
0.12408397156868148,0.0
0.12364317593255827,0.0
0.12319549286462064,3.781094527363184e-05
0.12378781200066118,0.02843781094527363
0.1239324480687641,0.08398009950248757
0.12438701856851618,0.1253731343283582
0.12438701856851618,0.2218905472636816
0.12438701856851618,0.1299502487562189
0.12438701856851618,0.06200995024875622
0.12408397156868148,0.03356218905472637
0.12378781200066118,0.029791044776119404
0.12364317593255827,0.004050746268656716
0.122747809796683,0.0
0.12393933550057855,0.0
0.1231886054328062,0.0
0.12289933329660037,0.0
0.12289933329660037,0.0
0.12349853986445535,0.0
0.1257162929087002,0.0
0.12927020772494352,0.0
0.13208027990522894,0.0
0.1357857182213896,0.0
0.13623340128932723,0.0
0.14066890737781695,0.0
0.14822442007824121,0.0
0.14969833048652817,0.0
0.1501460135544658,0.0
0.15059369662240343,0.0053850746268656715
0.15281833709846274,0.014238805970149255
0.15281833709846274,0.03082587064676617
0.15488456664279024,0.016746268656716416
0.16050471100336108,0.023034825870646765
0.16050471100336108,0.01807960199004975
0.16050471100336108,0.01573134328358209
0.16050471100336108,0.011562189054726368
0.16110391757121606,0.0037840796019900495
0.16243319191140007,0.0
0.16495399195547966,0.0
0.1652432640916855,0.0
0.16539478759160287,0.0
0.1652432640916855,0.0
0.16539478759160287,0.0
0.16539478759160287,0.0
0.16599399415945781,0.0
0.1667309493636013,0.0
0.1676194280676621,0.0
0.1667309493636013,0.0
0.16746790456774477,0.0
0.16850790677172295,0.0
0.16998870461182433,0.0
0.1713248663838228,3.781094527363184e-05
0.17295718772384153,0.013582089552238807
0.17354950685988207,0.17990049751243783
0.1736872554961706,0.09303482587064676
0.17458262163204583,0.0771542288557214
0.17487189376825168,0.07150248756218905
0.17650421510827044,0.09601990049751244
0.17635269160835307,0.16139303482587064
0.17783348944845445,0.06065671641791045
