Relative_Humidity,Precipitation_mm_hr,streamflow_cfs,Soil_mm,Evapotranspiration_mm_hr
0.9011248437716983,0.0,0.027437436085438003,0.7702265372168287,0.00021307738758878653
0.9144563255103457,0.0,0.027109421729986198,0.7680690399137002,0.00018175238479093152
0.9255658936258853,0.0,0.026800702336619776,0.7691477885652643,0.0001568752838296931
0.9300097208721011,0.0,0.026453393019082602,0.7691477885652643,0.00014847777881411012
0.9200111095681155,0.0,0.026086788739460045,0.7669902912621359,0.00016430720496414907
0.9255658936258853,0.0,0.025816659270264376,0.7691477885652643,0.0001635723385828726
0.9044577142063603,0.0,0.02550793987689805,0.7713052858683928,0.00019732757908034275
0.9155672823218998,0.0,0.02512204063519002,0.7659115426105718,0.00018267013314793732
0.8922371892792668,0.0,0.02496768093850681,0.761596548004315,0.0054821330474877795
0.8533537008748785,0.0,0.024543191772628026,0.7626752966558793,0.008242653412429442
0.7844743785585335,0.0,0.0242344723792617,0.7605177993527509,0.022280686425951757
0.7676989307040689,0.0,0.02413799756883462,0.7691477885652643,0.017077626282155336
0.6871545618664074,0.0,0.0239064580238099,0.7648327939590077,0.03394817711638636
0.6104985418691848,0.0,0.023829278175468295,0.7594390507011868,0.03874247613676929
0.6937092070545758,0.0,0.0235784436683581,0.7572815533980584,0.019682041119186172
0.7703652270517983,0.0,0.023327609161247907,0.7594390507011868,0.0047048895882295955
0.8344674350784612,0.0,0.022980299843710725,0.7594390507011868,0.001253092603880367
0.8311345646437994,0.0,0.022729465336600533,0.7583603020496225,0.00034373169654225953
0.8344674350784612,0.0,0.02245933586740496,0.7562028047464942,0.00032848351452197615
0.8378003055131232,0.0,0.02224709128446552,0.7562028047464942,0.0003172619251494692
0.8477989168171087,0.0,0.02197696181526995,0.7562028047464942,0.0002951536450371857
0.8600194417442023,0.0,0.02164894745981815,0.7583603020496225,0.0002264480732555183
0.887793362033051,0.0,0.021263048218110116,0.7551240560949299,0.00019814623174999467
0.8722399666712957,0.0,0.02093503386265832,0.7518878101402374,0.00022534795495403673
0.9111234550756839,0.0,0.020645609431377367,0.7518878101402374,0.00013778150388631179
0.884460491598389,0.0,0.02043336484843793,0.7529665587918015,0.0001629194867792791
0.888904318844605,0.0,0.020336890038010945,0.7508090614886732,0.00017635608389662545
0.8900152756561588,0.0,0.020201825303413207,0.749730312837109,0.00018940116034251039
0.8633523121788641,0.0,0.019989580720473767,0.7518878101402374,0.0002455079595778815
0.865574225801972,0.0,0.019893105910046786,0.7464940668824165,0.0002224159775170716
0.8677961394250798,0.0,0.019893105910046786,0.7486515641855449,0.00023799454031152596
0.7978058602971809,0.0,0.01966156636502197,0.7454153182308523,0.00040243952713616077
0.7889182058047494,0.0,0.019468616744168003,0.743257820927724,0.002700179502058034
0.643160672128871,0.0,0.01948791170625338,0.7421790722761598,0.013153394804672784
0.3705318705735315,0.0,0.01975804117544895,0.743257820927724,0.03472416805224136
0.30765171503957783,0.0,0.0197194512512782,0.7389428263214672,0.06598567871716046
0.33420358283571727,0.0,0.01958438651668036,0.7367853290183388,0.03372515613585488
0.30354117483682824,0.0,0.019545796592509608,0.7400215749730313,0.061475275630190854
0.3485349257047632,0.0,0.019430026819997247,0.7389428263214672,0.03104264643925972
0.5570615192334397,0.0,0.019314257047484792,0.7357065803667746,0.007289601816194051
0.5012914872934314,0.0,0.019121307426630825,0.737864077669903,0.0023918527175725017
0.7530343007915566,0.0,0.018947652767862234,0.7357065803667746,0.0005851843040734895
0.7933620330509652,0.0,0.0188125880332644,0.7346278317152104,0.0005153895447233983
0.8533537008748785,0.0,0.018735408184922798,0.7357065803667746,0.0003896170539068201
0.8189140397167061,0.0,0.01858104848823968,0.7324703344120821,0.00048267536160531043
0.8700180530481877,0.0,0.018445983753641846,0.7292340884573895,0.0003239768948978516
0.8777947507290654,0.0,0.018330213981129485,0.7335490830636463,0.0002879761207635086
0.8900152756561588,0.0,0.018214444208617026,0.7292340884573895,0.0002534356678002411
0.8800166643521733,0.0,0.018002199625677687,0.7292340884573895,0.0002622545833394448
0.8922371892792668,0.0,0.0179057248152507,0.7281553398058254,0.0002603233201827122
0.9155672823218998,0.0,0.017732070156482017,0.7259978425026969,0.00021895637935189692
0.9166782391334537,0.0,0.01759700542188428,0.7249190938511328,0.00021017008948901318
0.9233439800027773,0.0,0.017500530611457298,0.7238403451995685,0.0002006714900611941
0.9177891959450076,0.0,0.01738476083894484,0.720604099244876,0.00021198739539461013
0.9266768504374393,0.0,0.017288286028517858,0.720604099244876,0.0001956756332302641
0.9144563255103457,0.0,0.01723040114226163,0.7195253505933119,0.0002384057551955754
0.9044577142063603,0.0,0.017153221293920117,0.7173678532901835,0.001814286705604233
0.9189001527565617,0.0,0.017037451521407662,0.7173678532901835,0.002443058537208399
0.796694903485627,0.0,0.016960271673066057,0.7173678532901835,0.012492571242356705
0.8144702124704902,0.0,0.01688309182472445,0.7173678532901835,0.009313185991471974
0.8311345646437994,0.0,0.016902386786809925,0.7152103559870551,0.009680421237601385
0.8044716011665047,0.0,0.016844501900553695,0.7162891046386194,0.008844537057417981
0.8189140397167061,0.0,0.016805911976382846,0.7152103559870551,0.007035550516964106
0.8344674350784612,0.0,0.01665155227969973,0.7195253505933119,0.0061818533844017025
0.8155811692820443,0.0,0.016632257317614255,0.7184466019417476,0.0015941125684399643
0.8600194417442023,0.0,0.016516487545101894,0.7152103559870551,0.0003230144252667152
0.8511317872517705,0.0,0.016497192583016518,0.7184466019417476,0.0003900300974451568
0.8489098736286628,0.0,0.016420012734674912,0.7173678532901835,0.0003575729023495618
0.8444660463824469,0.0,0.016284948000077078,0.7162891046386194,0.0003688386402938646
0.9044577142063603,0.0,0.01622706311382095,0.7184466019417476,0.00015967794322474622
0.9155672823218998,0.0,0.01611129334130849,0.7173678532901835,7.881498203116307e-05
0.9222330231912235,0.0,0.016072703417137735,0.7195253505933119,5.586356757282441e-05
0.931120677683655,0.0,0.016014818530881506,0.7195253505933119,2.2871744295079767e-05
0.9455631162338564,0.0,0.016034113492966882,0.7184466019417476,4.7509292163238246e-05
0.9422302457991946,0.0,0.015918343720454524,0.7195253505933119,0.00013159832443437845
0.9466740730454104,0.0,0.015802573947942163,0.7195253505933119,9.501273241750263e-05
0.931120677683655,0.0,0.015763984023771313,0.7227615965480044,6.744366412512635e-05
0.9633384252187197,0.0,0.015744689061685937,0.7173678532901835,5.2377490209007694e-05
0.9644493820302735,0.0,0.01564821425125895,0.7195253505933119,5.360960970553983e-05
0.9633384252187197,0.0,0.0156096243270881,0.7195253505933119,6.312569909968768e-05
0.9511179002916261,0.0,0.015532444478746495,0.7162891046386194,0.001133223399750705
0.8677961394250798,0.0,0.015435969668319512,0.7152103559870551,0.00837177895296391
0.8111373420358283,0.0,0.015455264630404888,0.7162891046386194,0.025229357643132833
0.7833634217469796,0.0,0.015416674706234134,0.7162891046386194,0.02701217983039186
0.7719205665879739,0.0,0.015416674706234134,0.714131607335491,0.020693851236538687
0.6601583113456464,0.0,0.015281609971636299,0.7162891046386194,0.05047985473630466
0.6400499930565199,0.0,0.015243020047465543,0.7162891046386194,0.02120099418158462
0.647937786418553,0.0,0.01499218554035535,0.714131607335491,0.006465421061142873
0.6812664907651715,0.0,0.014741351033245155,0.7130528586839266,0.002668748681078551
0.6862657964171643,0.0,0.014644876222818173,0.714131607335491,0.0006211750191635575
0.6930426329676435,0.0,0.014374746753622603,0.7119741100323626,0.0005683212489008451
0.7233717539230662,0.0,0.014027437436085326,0.7130528586839266,0.000476356186507555
0.7399250104152202,0.0,0.0133907036872672,0.7076591154261057,0.0004477481700321369
0.7461463685599223,0.0,0.013197754066413235,0.7022653721682848,0.00043102994255692426
0.7404804888209972,0.0,0.01256102031759501,0.6957928802588997,0.00043749006051918733
0.7666990695736703,0.0,0.01277326490053445,0.6925566343042072,0.00038340645929925974
0.7681433134286905,0.0,0.012734674976363599,0.6925566343042072,0.00036619203661058294
0.7228162755172892,0.0,0.012483840469253405,0.6817691477885653,0.00043017246441176554
0.7531453964727122,0.0,0.012522430393424256,0.6774541531823086,0.00036467042466400973
0.7822524649354257,0.0,0.012175121075886981,0.6709816612729235,0.0003066126849782446
0.8233578669629218,0.0,0.01207864626546,0.6666666666666667,0.0002365507176046985
0.8333564782669074,0.0,0.011982171455033016,0.6569579288025892,0.00021393285221427084
0.8511317872517705,0.0,0.011847106720435277,0.6537216828478964,0.00018127030839628153
0.8600194417442023,0.0,0.011847106720435277,0.6472491909385114,0.00018059718429949586
0.8366893487015692,0.0,0.011731336947922822,0.645091693635383,0.0024961780779376823
0.7435911678933482,0.0,0.01157697725123961,0.638619201725998,0.00957726291761832
0.5972781558116929,0.0,0.011885696644606033,0.6364617044228695,0.01889776040940159
0.5921677544785445,0.0,0.012329480772570194,0.633225458468177,0.0162279843578761
0.6204971531731704,0.0,0.012522430393424256,0.6267529665587919,0.014335692790447507
0.6063880016664351,0.0,0.012483840469253405,0.6310679611650486,0.021341412021021442
0.6367171226218581,0.0,0.01244525054508265,0.6213592233009709,0.015738880790726655
0.6653798083599499,0.0,0.012310185810484816,0.6170442286947142,0.008485684039271045
0.690931815025691,0.0,0.012194416037972456,0.6138079827400217,0.002671375035603797
0.7209276489376475,0.0,0.012020761379203866,0.6127292340884575,0.0005456815905651386
0.7065963060686016,0.0,0.011982171455033016,0.6084142394822007,0.000622760480716134
0.7140397167060131,0.0,0.011827811758349804,0.6116504854368933,0.0006217952904614375
0.7448132203860575,0.0,0.011808516796264426,0.604099244875944,0.000624426814264049
0.7552562144146646,0.0,0.01178922183417905,0.5987055016181231,0.0006098625944961527
0.8000277739202889,0.0,0.01178922183417905,0.5997842502696872,0.0005060177708858335
0.7844743785585335,0.0,0.011827811758349804,0.5987055016181231,0.0005808802109933383
0.7540341619219553,0.0,0.011769926872093672,0.5987055016181231,0.0006581291848704723
0.7403693931398416,0.0,0.011692747023752066,0.6051779935275081,0.0007067208933300347
0.7630329120955424,0.0,0.011634862137495839,0.5911542610571737,0.000666265987280742
0.7675878350229135,0.0,0.011596272213325083,0.5911542610571737,0.0006378040628097868
0.8111373420358283,0.0,0.011557682289154231,0.5889967637540453,0.0005066645499296146
0.8055825579780586,0.0,0.011519092364983477,0.5857605177993528,0.0004850693989809673
0.7651437300374948,0.0,0.011364732668300266,0.5868392664509171,0.0005582341073539634
0.7978058602971809,0.0,0.01128755281995866,0.5814455231930962,0.0004798310996513541
0.7922510762394112,0.0,0.01128755281995866,0.5814455231930962,0.003540200541157799
0.7133731426190807,0.0,0.011191078009531676,0.5825242718446603,0.010105683216230735
0.6159422302457993,0.0,0.01128755281995866,0.5814455231930962,0.015725637617645994
0.5798361338702958,0.0,0.011345437706214889,0.5814455231930962,0.028217216254637332
0.5707262880155534,0.0,0.011364732668300266,0.5792880258899678,0.01740376923228675
0.598166921260936,0.0,0.011229667933702432,0.5792880258899678,0.008667184766223688
0.7001527565615887,0.0,0.011229667933702432,0.5792880258899678,0.004802298750817796
0.7044854881266491,0.0,0.011248962895787905,0.5760517799352752,0.0043354823505258626
0.7723649493125956,0.0,0.011210372971617054,0.5760517799352752,0.0010567837870199045
0.8466879600055548,0.0,0.011152488085360826,0.5760517799352752,0.00036925940240585667
0.9377864185529788,0.0,0.011094603199104694,0.5825242718446603,0.00014578072728750903
0.9444521594223024,0.0,0.011036718312848465,0.5738942826321468,0.00012169615631733041
0.9377864185529788,0.0,0.010920948540336105,0.5760517799352752,0.00011350872679479596
0.9233439800027773,0.0,0.01090165357825063,0.5728155339805825,0.0001340182169594528
0.9377864185529788,0.0,0.010496459374457322,0.5706580366774543,8.031599709235145e-05
0.9644493820302735,0.0012226733287423646,0.010245624867347126,0.5706580366774543,7.038781844465173e-05
0.9644493820302735,0.0019562773259877834,0.010592934184884304,0.5706580366774543,6.845826400904461e-05
0.9633384252187197,0.002689881323233202,0.010920948540336105,0.56957928802589,5.592037151737496e-05
0.9655603388418276,0.002200811991736256,0.011075308237019221,0.5674217907227616,5.592300183755018e-05
0.954450770726288,0.0017117426602393105,0.011152488085360826,0.5663430420711975,8.249485367149642e-05
0.9644493820302735,0.0019562773259877834,0.011191078009531676,0.5663430420711975,6.477300048562062e-05
0.9577836411609499,0.0017117426602393105,0.011248962895787905,0.5663430420711975,7.785441854361036e-05
0.9522288571031802,0.0009781386629938917,0.011248962895787905,0.5620280474649407,9.15039015506824e-05
0.9511179002916261,0.0012226733287423646,0.011152488085360826,0.5631067961165049,9.263856087425213e-05
0.8833495347868352,0.0004890693314969458,0.011113898161190072,0.564185544768069,0.0008235772401847968
0.9233439800027773,0.0004890693314969458,0.011152488085360826,0.564185544768069,0.0016369850608312232
0.9444521594223024,0.0014672079944908372,0.011094603199104694,0.5620280474649407,0.003301811006076321
0.9633384252187197,0.0019562773259877834,0.011268257857873283,0.5631067961165049,0.0017881094053252655
0.9655603388418276,0.003178950654730148,0.011210372971617054,0.5620280474649407,0.0024306370397102063
0.9655603388418276,0.003178950654730148,0.011133193123275448,0.5631067961165049,0.0019232350003230228
0.9522288571031802,0.0017117426602393105,0.011036718312848465,0.5609492988133765,0.0017080447230723537
0.9500069434800722,0.0014672079944908372,0.010920948540336105,0.564185544768069,0.0012987927456298957
0.953339813914734,0.0007336039972454186,0.010882358616165252,0.564185544768069,0.00047259971389041817
0.9488959866685184,0.0007336039972454186,0.010882358616165252,0.5620280474649407,9.617325137184553e-05
0.9566726843493959,0.0002445346657484729,0.010920948540336105,0.5609492988133765,6.932666640588635e-05
0.9600055547840578,0.0004890693314969458,0.010824473729909025,0.564185544768069,3.618390837871124e-05
0.9611165115956117,0.0,0.010747293881567517,0.564185544768069,3.9159660154752e-05
0.9788918205804749,0.0,0.010670114033225911,0.5652642934196334,2.0652796468675363e-05
0.9733370365227051,0.0,0.010612229146969682,0.564185544768069,5.05059466658864e-05
0.9488959866685184,0.0,0.010592934184884304,0.5631067961165049,7.30551637465412e-05
0.9566726843493959,0.0,0.01057363922279883,0.5631067961165049,6.694418155463191e-05
0.977780863768921,0.0,0.010477164412371847,0.5620280474649407,4.686991503548161e-05
0.9500069434800722,0.0,0.010438574488201093,0.5663430420711975,0.00011021431532427312
0.9166782391334537,0.0,0.010399984564030242,0.564185544768069,0.00018943083061080318
0.9233439800027773,0.0,0.010361394639859488,0.564185544768069,0.00016268962332722397
0.908901541452576,0.0,0.01028421479151788,0.564185544768069,0.00018835240916255115
0.9111234550756839,0.0,0.010264919829432504,0.56957928802589,0.00018711291798196507
0.9011248437716983,0.0004890693314969458,0.010149150056920048,0.564185544768069,0.0002024916285208514
0.8977919733370365,0.0,0.010168445019005523,0.5663430420711975,0.0015353421373679686
0.8511317872517705,0.0002445346657484729,0.010187739981090899,0.5663430420711975,0.018654068944820246
0.8444660463824469,0.0,0.01012985509483467,0.5652642934196334,0.009866251220701302
0.8522427440633246,0.0,0.010071970208578538,0.5685005393743259,0.008256500044158316
0.8511317872517705,0.0,0.010110560132749294,0.5663430420711975,0.007995369876022385
0.8089154284127205,0.0,0.010071970208578538,0.5663430420711975,0.011343523201692894
0.7889182058047494,0.0,0.009936905473980705,0.5685005393743259,0.019788728066639335
0.8166921260935981,0.0,0.0098597256256391,0.5674217907227616,0.007664192932091389
0.841133175947785,0.0,0.009917610511895327,0.5706580366774543,0.0017421451197132995
0.8933481460908208,0.0,0.0098597256256391,0.5674217907227616,0.00026145043307059944
0.9133453686987919,0.0,0.009840430663553721,0.56957928802589,0.00020067972633578678
0.908901541452576,0.0,0.009917610511895327,0.56957928802589,0.0002009804455658285
0.9300097208721011,0.0,0.009782545777297492,0.5674217907227616,0.00015466825572902295
0.9044577142063603,0.0,0.0098597256256391,0.5706580366774543,0.00023361115762441837
0.8278016942091376,0.0,0.009782545777297492,0.5749730312837109,0.0004366335002551048
0.884460491598389,0.0,0.009724660891041263,0.5685005393743259,0.00025130767320374214
0.9000138869601444,0.0,0.009763250815212116,0.5685005393743259,0.00021775048709879837
0.9144563255103457,0.0,0.009763250815212116,0.5717367853290184,0.00016109310932064397
0.8733509234828496,0.0,0.009724660891041263,0.56957928802589,0.00026755302864977766
0.8833495347868352,0.0,0.009743955853126738,0.5738942826321468,0.00023466504965649425
0.8722399666712957,0.0,0.009724660891041263,0.5717367853290184,0.00024824670708647117
0.9244549368143313,0.0,0.009705365928955887,0.56957928802589,0.00013744677256554092
0.8666851826135259,0.0,0.009743955853126738,0.56957928802589,0.0002330970906249976
0.9177891959450076,0.0,0.009724660891041263,0.56957928802589,0.00014069301509363685
0.9189001527565617,0.0,0.009705365928955887,0.5706580366774543,0.0014514949789498758
0.8011387307318427,0.0,0.009724660891041263,0.5706580366774543,0.006718074928733252
0.7551451187335092,0.0,0.009666776004785035,0.5706580366774543,0.014339571261903786
0.6862657964171643,0.0,0.009705365928955887,0.5706580366774543,0.019179231827048355
0.6975975558950146,0.0,0.009705365928955887,0.5771305285868393,0.021327469003578323
0.7344813220386057,0.0,0.009724660891041263,0.5728155339805825,0.013790699685094611
0.7253714761838633,0.0,0.009705365928955887,0.5717367853290184,0.013928507992064337
0.7665879738925149,0.0,0.009743955853126738,0.5728155339805825,0.006596115616809159
0.8444660463824469,0.0,0.009763250815212116,0.5706580366774543,0.0010237943207152829
0.9077905846410221,0.0,0.00980184073938287,0.5717367853290184,0.00024694593710698943
0.9300097208721011,0.0004890693314969458,0.00980184073938287,0.5749730312837109,0.00018974041069636083
0.9955561727537842,0.0007336039972454186,0.009956200436066083,0.5738942826321468,1.2044880521527438e-05
1.0,0.003178950654730148,0.010091265170663916,0.5738942826321468,0.0
1.0,0.005868831977963349,0.010187739981090899,0.5728155339805825,0.0
1.0,0.003178950654730148,0.010187739981090899,0.5749730312837109,0.0
1.0,0.003178950654730148,0.010419279526115717,0.5749730312837109,0.0
1.0,0.002689881323233202,0.010419279526115717,0.5749730312837109,0.0
1.0,0.003178950654730148,0.010535049298628077,0.5728155339805825,0.0
1.0,0.005379762646466404,0.010689408995311287,0.5749730312837109,0.0
1.0,0.004401623983472512,0.011557682289154231,0.5749730312837109,0.0
1.0,0.0019562773259877834,0.014104617284426933,0.5738942826321468,0.0
0.9744479933342591,0.002200811991736256,0.01925637216122866,0.5728155339805825,0.0001268136112583015
0.9755589501458131,0.0004890693314969458,0.023867868099639047,0.5728155339805825,0.00011923300879356329
1.0,0.002200811991736256,0.031720917668396686,0.5738942826321468,0.0
